Timestamp,TXSpot,R1,I1,R2,I2,R3,I3,R4,I4,R5,I5,R6,I6,R7,I7,R8,I8,R9,I9,R10,I10,R11,I11,R12,I12,R13,I13,R14,I14,R15,I15,R16,I16,R17,I17,R18,I18,R19,I19,R20,I20,R21,I21,R22,I22,R23,I23,R24,I24,R25,I25,R26,I26,R27,I27,R28,I28,R29,I29,R30,I30,R31,I31,R32,I32,R33,I33,R34,I34,R35,I35,R36,I36,R37,I37,R38,I38,R39,I39,R40,I40,R41,I41,R42,I42,R43,I43,R44,I44,R45,I45,R46,I46,R47,I47,R48,I48,R49,I49,R50,I50,R51,I51,R52,I52,R53,I53,R54,I54,R55,I55,R56,I56,R57,I57,R58,I58,R59,I59,R60,I60,R61,I61,R62,I62,R63,I63,R64,I64
2.49103,2,84,-64,4,0,0,0,0,0,0,0,0,0,1,-27,1,-27,2,-27,4,-27,3,-26,3,-28,4,-25,5,-26,4,-25,5,-25,6,-24,6,-23,5,-24,6,-24,6,-23,6,-24,7,-23,6,-20,5,-22,7,-23,4,-19,5,-19,5,-21,4,-21,5,-21,4,-20,0,0,4,-20,2,-17,3,-19,3,-17,3,-18,3,-19,1,-16,1,-16,0,-16,-1,-17,0,-17,-1,-17,-2,-16,-3,-17,-3,-16,-4,-17,-4,-16,-5,-15,-5,-16,-5,-15,-7,-16,-6,-16,-7,-16,-7,-17,-7,-16,-7,-17,0,0,0,0,0,0,0,0,0,0
2.49764,2,84,-64,4,0,0,0,0,0,0,0,0,0,-15,-19,-15,-19,-13,-20,-13,-20,-13,-21,-12,-21,-11,-21,-11,-21,-11,-21,-10,-21,-10,-20,-9,-20,-9,-21,-9,-20,-8,-20,-8,-20,-8,-20,-7,-19,-7,-20,-6,-20,-6,-19,-6,-18,-6,-18,-7,-17,-7,-18,-7,-16,0,0,-6,-17,-7,-15,-6,-16,-7,-16,-6,-16,-6,-14,-8,-14,-8,-13,-7,-14,-8,-13,-8,-14,-9,-13,-9,-11,-10,-11,-10,-11,-10,-11,-10,-11,-11,-11,-11,-11,-11,-10,-11,-11,-12,-10,-12,-10,-13,-11,-12,-9,-13,-10,0,0,0,0,0,0,0,0,0,0
2.5123,2,84,-64,4,0,0,0,0,0,0,0,0,0,-17,13,-18,13,-18,13,-19,12,-19,12,-19,11,-19,10,-20,10,-20,9,-18,9,-19,10,-19,9,-19,9,-20,10,-19,7,-18,8,-18,7,-18,6,-18,7,-18,7,-17,6,-17,6,-17,7,-17,7,-16,7,-16,7,0,0,-15,7,-15,7,-14,8,-13,8,-13,7,-15,7,-15,7,-13,7,-13,8,-12,10,-11,10,-11,9,-10,10,-11,9,-11,10,-10,10,-10,10,-10,11,-11,11,-11,11,-10,11,-10,12,-10,12,-9,13,-10,13,-10,13,0,0,0,0,0,0,0,0,0,0
2.52911,2,84,-64,4,0,0,0,0,0,0,0,0,0,-7,25,-7,25,-8,24,-7,24,-8,23,-9,23,-9,24,-10,23,-11,24,-12,23,-11,23,-12,22,-12,22,-13,21,-13,21,-13,22,-12,21,-12,21,-12,20,-12,20,-12,19,-11,20,-12,18,-12,18,-12,19,-11,18,0,0,-9,19,-9,18,-8,17,-9,17,-8,17,-7,17,-7,17,-7,17,-6,18,-6,18,-5,18,-5,17,-4,18,-4,18,-3,19,-3,19,-2,18,-2,19,-2,18,-2,19,-1,20,-1,21,-1,20,-1,21,-1,20,-1,21,0,0,0,0,0,0,0,0,0,0
2.54962,2,84,-64,4,0,0,0,0,0,0,0,0,0,-10,18,-11,18,-12,17,-12,18,-12,16,-12,16,-13,15,-13,15,-12,14,-12,14,-13,14,-13,14,-13,14,-13,13,-13,13,-13,13,-13,12,-12,12,-12,13,-12,12,-12,11,-12,12,-11,11,-11,11,-11,12,-11,11,0,0,-10,11,-9,11,-9,11,-8,11,-8,11,-8,11,-7,11,-7,11,-7,11,-6,11,-6,12,-6,11,-5,12,-5,12,-4,12,-4,13,-4,13,-4,13,-4,12,-3,13,-3,13,-3,13,-3,14,-2,15,-3,14,-2,14,0,0,0,0,0,0,0,0,0,0
2.56259,2,84,-64,4,0,0,0,0,0,0,0,0,0,-20,-5,-20,-5,-21,-5,-20,-6,-19,-7,-20,-7,-19,-7,-19,-8,-18,-8,-18,-7,-18,-8,-17,-8,-16,-8,-17,-9,-16,-8,-17,-8,-16,-8,-15,-8,-15,-8,-15,-8,-15,-7,-15,-8,-15,-7,-14,-6,-14,-7,-14,-7,0,0,-14,-6,-14,-6,-12,-6,-13,-5,-13,-5,-13,-5,-14,-4,-13,-4,-14,-2,-13,-3,-13,-3,-13,-2,-13,-2,-13,-1,-13,-1,-14,0,-13,0,-13,0,-14,1,-14,0,-14,0,-14,0,-13,1,-14,1,-14,2,-14,1,0,0,0,0,0,0,0,0,0,0
2.57143,2,84,-64,4,0,0,0,0,0,0,0,0,0,2,-27,2,-25,4,-26,1,-24,2,-25,5,-25,5,-24,5,-24,5,-23,7,-24,5,-23,8,-22,6,-23,7,-22,8,-21,9,-22,6,-21,6,-19,7,-21,8,-21,8,-20,8,-19,8,-19,7,-19,7,-19,7,-18,0,0,8,-17,6,-17,7,-17,5,-15,6,-19,3,-18,5,-17,4,-13,0,-20,3,-21,4,-18,0,-16,3,-16,1,-16,3,-17,-2,-17,0,-17,1,-17,-1,-17,-1,-18,0,-19,-1,-19,1,-17,-1,-20,0,-18,-1,-19,0,0,0,0,0,0,0,0,0,0
2.58528,2,84,-64,4,0,0,0,0,0,0,0,0,0,-24,-4,-28,10,-24,-4,-20,5,-20,8,-21,-2,-24,-1,-22,-2,-22,-3,-21,-3,-20,-4,-21,-4,-21,-4,-21,-4,-20,-5,-19,-6,-19,-5,-19,-5,-19,-6,-19,-6,-17,-6,-18,-6,-16,-7,-17,-6,-17,-6,-17,-6,0,0,-16,-5,-16,-6,-16,-6,-15,-5,-15,-6,-15,-6,-15,-6,-14,-5,-15,-5,-15,-5,-15,-4,-15,-4,-15,-5,-14,-4,-15,-4,-15,-4,-16,-3,-15,-3,-17,-4,-16,-3,-16,-4,-15,-4,-16,-5,-17,-4,-17,-5,-16,-4,0,0,0,0,0,0,0,0,0,0
2.60145,2,84,-64,4,0,0,0,0,0,0,0,0,0,10,-21,10,-19,12,-20,12,-20,12,-19,12,-20,12,-18,13,-19,12,-17,13,-17,13,-18,14,-17,13,-16,14,-16,14,-16,12,-16,13,-16,13,-16,13,-15,12,-14,12,-15,13,-15,12,-15,11,-14,11,-14,12,-14,0,0,10,-14,10,-14,9,-13,9,-14,8,-14,9,-14,8,-14,8,-15,8,-14,7,-15,6,-15,6,-16,6,-15,6,-16,6,-15,5,-17,4,-17,4,-17,4,-16,4,-17,4,-17,3,-17,3,-18,3,-18,4,-18,4,-18,0,0,0,0,0,0,0,0,0,0
2.61599,2,84,-64,4,0,0,0,0,0,0,0,0,0,-16,-14,-15,-14,-15,-14,-15,-14,-14,-15,-14,-15,-14,-15,-14,-15,-13,-16,-13,-16,-12,-16,-12,-16,-12,-16,-12,-15,-11,-16,-11,-15,-12,-15,-11,-15,-11,-15,-11,-15,-10,-15,-10,-15,-9,-14,-9,-14,-10,-13,-10,-15,0,0,-11,-13,-10,-12,-10,-13,-10,-12,-11,-12,-11,-12,-10,-11,-11,-11,-11,-10,-11,-10,-12,-10,-10,-9,-12,-9,-11,-9,-12,-9,-13,-8,-13,-8,-13,-8,-13,-8,-14,-7,-14,-8,-14,-8,-13,-9,-15,-7,-16,-8,-16,-8,0,0,0,0,0,0,0,0,0,0
2.62305,2,84,-64,4,0,0,0,0,0,0,0,0,0,-18,15,-18,14,-18,14,-18,14,-18,13,-18,13,-19,13,-20,12,-19,11,-19,11,-20,12,-20,10,-19,10,-19,10,-19,11,-20,10,-20,10,-19,9,-18,9,-19,9,-19,9,-18,8,-18,9,-18,9,-18,9,-17,9,0,0,-17,8,-15,8,-16,10,-16,8,-15,9,-14,9,-15,9,-13,10,-13,10,-14,10,-13,11,-12,10,-13,11,-12,11,-12,12,-12,13,-11,13,-13,13,-11,14,-13,14,-12,14,-12,13,-10,14,-11,14,-13,14,-13,15,0,0,0,0,0,0,0,0,0,0
