type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,8C:CE:4E:99:4F:5C,-43,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,2701365,0,84,0,0,2.88777,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -24 4 -25 3 -25 2 -25 2 -25 1 -25 1 -25 0 -25 0 -25 0 -24 0 -25 -1 -24 -2 -24 -1 -24 -2 -24 -2 -23 -2 -23 -2 -22 -2 -23 -2 -23 -2 -22 -1 -22 -1 -21 -1 -22 -1 -21 -1 -21 -1 0 0 -21 -1 -20 0 -20 0 -19 0 -20 1 -19 1 -19 1 -18 2 -18 1 -18 2 -18 2 -18 2 -17 3 -17 3 -17 3 -17 3 -16 3 -16 4 -16 4 -15 4 -15 4 -15 5 -14 5 -14 5 -14 4 -13 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:CE:4E:99:4F:5C,-43,11,1,7,1,1,1,1,0,0,1,-96,1,6,1,2711555,0,84,0,0,2.89568,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -9 -21 -9 -22 -8 -23 -8 -23 -7 -23 -7 -22 -6 -23 -6 -23 -6 -23 -5 -23 -5 -24 -4 -23 -4 -23 -4 -23 -4 -23 -4 -22 -4 -22 -4 -22 -4 -22 -4 -22 -4 -21 -4 -21 -3 -21 -4 -21 -4 -20 -4 -20 0 0 -4 -20 -5 -19 -5 -19 -5 -19 -5 -19 -5 -19 -6 -18 -6 -18 -6 -17 -6 -17 -6 -17 -6 -17 -6 -16 -7 -16 -7 -16 -7 -15 -7 -16 -7 -15 -7 -15 -7 -14 -7 -14 -8 -14 -7 -14 -7 -13 -7 -13 -7 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:CE:4E:99:4F:5C,-43,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,2718055,0,84,0,0,2.9024,384,[84 -64 4 0 0 0 0 0 0 0 0 0 24 0 26 1 24 2 26 2 24 2 25 3 25 3 25 4 24 4 24 4 24 5 24 5 24 5 24 6 24 6 23 6 23 6 21 6 23 6 22 5 22 5 22 5 21 5 21 5 21 5 21 5 0 0 21 4 20 4 21 4 19 3 20 3 20 2 19 2 19 1 19 2 18 1 18 1 18 1 18 0 19 0 17 0 18 0 17 -1 17 -1 17 -1 16 -1 16 -1 16 -2 15 -2 15 -2 15 -2 14 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:CE:4E:99:4F:5C,-43,11,1,7,1,1,1,1,0,0,1,-96,1,6,1,2723415,0,84,0,0,2.90782,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -25 5 -25 4 -25 4 -26 3 -26 3 -26 2 -26 2 -25 1 -25 0 -25 0 -26 0 -25 0 -25 0 -25 -1 -25 -1 -25 -1 -25 -1 -24 -1 -24 -1 -24 -1 -24 -1 -23 -1 -23 -1 -23 -1 -23 -1 -23 -1 0 0 -22 -1 -21 0 -21 0 -21 0 -21 1 -21 1 -20 1 -20 1 -19 1 -19 2 -19 3 -19 3 -19 3 -18 3 -18 3 -18 3 -18 3 -18 3 -17 4 -17 4 -16 4 -16 4 -15 4 -15 4 -15 4 -15 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:CE:4E:99:4F:5C,-43,11,1,7,1,1,1,1,0,0,1,-96,1,6,1,2732813,0,84,0,0,2.91593,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -26 3 -27 2 -27 1 -27 1 -27 0 -27 -1 -27 -2 -26 -2 -26 -3 -26 -3 -26 -3 -26 -3 -26 -3 -26 -4 -26 -4 -25 -5 -25 -4 -24 -5 -24 -4 -24 -5 -24 -5 -23 -5 -23 -5 -23 -4 -23 -4 -23 -3 0 0 -22 -4 -22 -3 -22 -3 -21 -3 -21 -3 -20 -3 -21 -2 -21 -2 -19 -2 -19 -1 -20 -1 -20 0 -19 0 -19 0 -19 0 -18 0 -18 1 -18 1 -18 1 -18 0 -17 1 -17 1 -16 1 -16 2 -15 2 -15 1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:CE:4E:99:4F:5C,-43,11,1,7,1,1,1,1,0,0,1,-96,1,6,1,2741621,0,84,0,0,2.92403,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -12 -21 -12 -22 -11 -22 -11 -23 -11 -23 -10 -22 -9 -22 -9 -22 -8 -23 -9 -23 -8 -23 -8 -23 -8 -23 -8 -23 -7 -22 -7 -22 -7 -22 -7 -21 -7 -21 -7 -21 -7 -21 -7 -21 -6 -20 -7 -20 -7 -20 -8 -19 0 0 -7 -18 -8 -18 -8 -18 -8 -17 -9 -17 -8 -17 -9 -16 -10 -16 -8 -16 -8 -15 -9 -15 -10 -15 -10 -15 -10 -14 -10 -14 -10 -14 -10 -13 -10 -13 -10 -13 -10 -12 -10 -12 -10 -11 -10 -11 -10 -11 -9 -10 -9 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:CE:4E:99:4F:5C,-43,11,1,7,1,1,1,1,0,0,1,-96,1,6,1,2752606,0,84,0,0,2.93483,384,[84 -64 4 0 0 0 0 0 0 0 0 0 24 9 24 10 24 11 24 11 23 12 23 12 23 13 22 12 22 13 21 13 21 13 21 13 21 14 20 14 20 13 19 14 20 14 19 13 19 13 19 13 19 12 18 12 18 12 18 12 18 12 18 11 0 0 18 10 18 10 18 10 17 9 17 9 18 9 18 8 17 8 16 8 16 7 17 6 17 7 17 6 17 5 17 5 16 5 16 4 16 4 16 4 16 4 16 4 15 3 15 3 15 3 14 3 14 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:CE:4E:99:4F:5C,-43,11,1,7,1,1,1,1,0,0,1,-96,1,6,1,2762586,0,84,0,0,2.94474,384,[84 -64 4 0 0 0 0 0 0 0 0 0 24 9 25 10 23 11 24 12 23 12 23 12 21 13 21 13 22 13 21 13 21 13 21 13 21 13 20 14 21 14 19 13 20 13 18 13 19 13 19 13 18 13 19 12 17 12 19 12 19 11 18 11 0 0 18 11 18 10 18 10 17 9 18 9 17 9 17 8 17 8 16 8 16 7 17 7 17 7 17 6 17 6 16 6 17 5 16 5 17 5 16 5 15 5 15 4 15 4 15 3 15 3 14 3 14 3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:CE:4E:99:4F:5C,-43,11,1,7,1,1,1,1,0,0,1,-96,1,6,1,2771321,0,84,0,0,2.95341,384,[84 -64 4 0 0 0 0 0 0 0 0 0 20 -12 21 -11 21 -11 21 -10 21 -10 22 -9 22 -8 22 -8 22 -8 22 -7 22 -7 21 -7 22 -7 22 -7 21 -6 21 -6 21 -6 20 -6 21 -6 21 -5 20 -5 20 -6 19 -6 19 -7 19 -6 19 -6 0 0 19 -6 18 -6 18 -7 17 -7 17 -7 17 -7 17 -7 16 -7 16 -7 15 -7 15 -8 15 -8 15 -9 15 -9 14 -8 14 -9 14 -9 13 -9 14 -8 13 -8 13 -8 12 -9 11 -9 11 -9 11 -9 11 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:CE:4E:99:4F:5C,-43,11,1,7,1,1,1,1,0,0,1,-96,1,6,1,2782723,0,84,0,0,2.96497,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -21 14 -22 14 -22 14 -23 14 -23 13 -23 13 -23 12 -23 11 -23 11 -23 11 -24 11 -23 10 -23 10 -23 10 -23 9 -23 9 -23 9 -22 8 -22 9 -22 9 -22 9 -21 9 -21 9 -21 9 -21 9 -21 9 0 0 -20 9 -19 9 -19 10 -18 9 -19 10 -18 10 -17 10 -17 10 -16 9 -15 10 -16 10 -16 11 -15 11 -15 11 -14 11 -14 11 -13 12 -13 11 -13 12 -12 11 -13 11 -12 11 -11 11 -11 12 -11 11 -11 11 0 0 0 0 0 0 0 0 0 0 ]
