real_timestamp,Zone,R1,I1,R2,I2,R3,I3,R4,I4,R5,I5,R6,I6,R7,I7,R8,I8,R9,I9,R10,I10,R11,I11,R12,I12,R13,I13,R14,I14,R15,I15,R16,I16,R17,I17,R18,I18,R19,I19,R20,I20,R21,I21,R22,I22,R23,I23,R24,I24,R25,I25,R26,I26,R27,I27,R28,I28,R29,I29,R30,I30,R31,I31,R32,I32,R33,I33,R34,I34,R35,I35,R36,I36,R37,I37,R38,I38,R39,I39,R40,I40,R41,I41,R42,I42,R43,I43,R44,I44,R45,I45,R46,I46,R47,I47,R48,I48,R49,I49,R50,I50,R51,I51,R52,I52,R53,I53,R54,I54,R55,I55,R56,I56,R57,I57,R58,I58,R59,I59,R60,I60,R61,I61,R62,I62,R63,I63,R64,I64
3.30595,1,84,-64,4,0,0,0,0,0,0,0,0,0,6,17,5,18,3,18,3,19,2,18,1,17,0,17,0,16,1,15,0,15,0,15,-1,14,-1,14,0,13,-1,12,0,12,0,11,1,10,1,11,1,10,0,9,2,9,1,8,2,8,2,8,3,8,0,0,3,7,4,7,4,7,4,7,4,6,4,6,4,5,4,5,5,4,4,4,5,3,5,4,5,3,5,2,5,1,5,1,5,-1,5,-1,5,-1,5,-2,5,-3,4,-3,5,-4,5,-5,5,-6,6,-7,0,0,0,0,0,0,0,0,0,0
3.312,1,84,-64,4,0,0,0,0,0,0,0,0,0,-16,-14,-16,-14,-14,-15,-13,-16,-12,-16,-12,-16,-10,-16,-10,-16,-8,-15,-9,-15,-7,-14,-9,-14,-7,-13,-8,-14,-7,-13,-6,-11,-7,-10,-6,-10,-6,-10,-7,-10,-7,-10,-7,-8,-7,-8,-7,-8,-7,-7,-8,-7,0,0,-7,-6,-8,-6,-6,-5,-8,-5,-7,-5,-6,-5,-8,-5,-8,-5,-7,-3,-6,-3,-8,-2,-8,-1,-7,-1,-7,-1,-6,-1,-6,2,-6,0,-6,3,-6,2,-6,4,-6,4,-5,5,-5,5,-5,7,-5,7,-5,9,0,0,0,0,0,0,0,0,0,0
3.32201,1,84,-64,4,0,0,0,0,0,0,0,0,0,15,-10,15,-10,16,-8,15,-8,15,-7,14,-6,15,-5,15,-4,15,-4,14,-4,14,-3,13,-3,12,-2,12,-3,11,-2,10,-2,10,-3,9,-2,9,-3,9,-3,8,-3,9,-4,8,-3,7,-4,7,-4,8,-5,0,0,6,-3,6,-5,6,-5,6,-5,6,-4,5,-5,5,-5,5,-5,4,-5,4,-5,3,-4,3,-5,2,-5,2,-6,2,-6,1,-6,0,-6,0,-6,0,-7,-2,-7,-2,-7,-3,-7,-3,-7,-4,-8,-4,-8,-5,-9,0,0,0,0,0,0,0,0,0,0
3.34221,1,84,-64,4,0,0,0,0,0,0,0,0,0,13,10,12,11,12,12,11,13,10,13,9,12,8,12,8,12,7,12,7,11,7,11,6,9,6,10,6,10,6,9,5,8,5,8,4,7,5,7,6,7,4,6,6,6,5,5,5,6,6,6,6,5,0,0,6,5,6,5,6,4,6,4,6,4,6,3,6,4,5,2,5,2,5,2,6,1,6,1,6,0,5,-1,6,0,6,-2,6,-2,6,-3,5,-3,6,-4,6,-4,6,-5,6,-6,6,-7,6,-7,6,-8,0,0,0,0,0,0,0,0,0,0
3.35975,1,84,-64,4,0,0,0,0,0,0,0,0,0,-11,-15,-11,-15,-10,-17,-9,-17,-8,-17,-6,-17,-6,-16,-5,-16,-4,-15,-4,-15,-4,-15,-3,-13,-3,-13,-3,-14,-3,-12,-3,-12,-4,-11,-2,-11,-4,-11,-4,-10,-3,-10,-4,-10,-4,-9,-5,-9,-5,-9,-5,-9,0,0,-4,-9,-6,-8,-5,-8,-5,-8,-6,-7,-5,-8,-6,-7,-6,-7,-6,-6,-6,-6,-6,-5,-6,-5,-7,-5,-7,-5,-7,-4,-8,-3,-8,-3,-8,-2,-8,-2,-8,-2,-9,-1,-10,0,-10,0,-12,2,-12,1,-12,2,0,0,0,0,0,0,0,0,0,0
3.37996,1,84,-64,4,0,0,0,0,0,0,0,0,0,-17,5,-16,3,-16,2,-16,2,-16,0,-16,0,-15,-1,-14,-2,-14,-2,-13,-2,-13,-2,-12,-1,-12,-2,-12,-2,-11,-2,-11,-1,-11,0,-11,-1,-11,-1,-9,-1,-10,-1,-10,-1,-9,-1,-10,0,-10,1,-9,1,0,0,-9,1,-9,1,-9,1,-9,1,-9,1,-8,1,-8,2,-8,1,-8,2,-8,2,-7,3,-7,3,-7,4,-6,3,-6,4,-6,4,-5,5,-5,5,-5,6,-4,6,-4,7,-5,7,-4,8,-4,9,-4,9,-3,10,0,0,0,0,0,0,0,0,0,0
3.38804,1,84,-64,4,0,0,0,0,0,0,0,0,0,1,15,0,15,0,15,-1,15,-2,14,-2,14,-3,14,-4,12,-4,11,-5,12,-4,11,-4,10,-4,10,-4,10,-4,10,-4,9,-3,9,-3,8,-3,9,-3,8,-3,8,-2,9,-2,8,-1,9,-1,8,-1,8,0,0,-2,8,-1,8,-1,8,-1,7,-1,7,-1,8,0,8,-1,8,0,7,0,6,1,7,1,7,1,7,1,6,1,6,3,6,3,6,3,6,4,6,4,6,4,5,5,6,6,6,7,6,7,5,7,6,0,0,0,0,0,0,0,0,0,0
3.39718,1,84,-64,4,0,0,0,0,0,0,0,0,0,2,19,0,21,0,20,-2,20,-2,18,-3,18,-4,17,-4,16,-5,16,-5,15,-5,14,-5,13,-5,13,-4,12,-5,12,-4,12,-4,11,-3,10,-3,12,-2,12,-3,10,-3,11,0,11,-1,12,-1,12,-1,11,0,0,-2,10,0,10,-1,10,-1,8,-1,11,-1,11,0,9,1,10,1,9,0,8,1,9,2,9,3,9,2,7,3,7,4,7,3,7,5,8,5,7,5,6,6,7,7,7,8,7,10,7,10,7,9,7,0,0,0,0,0,0,0,0,0,0
3.4077,1,84,-64,4,0,0,0,0,0,0,0,0,0,10,12,8,13,7,14,8,14,6,14,6,13,4,13,4,13,3,12,3,12,3,12,2,11,3,11,3,10,4,10,3,9,2,9,2,9,3,9,3,8,3,8,4,8,3,9,4,8,4,8,4,7,0,0,4,7,5,7,5,7,5,6,5,6,5,6,5,6,5,6,5,6,5,5,6,5,5,4,5,5,6,4,7,3,5,2,7,2,6,1,6,1,7,0,7,-1,8,0,8,-1,8,-1,10,-1,9,-2,0,0,0,0,0,0,0,0,0,0
3.41843,1,84,-64,4,0,0,0,0,0,0,0,0,0,-17,10,-18,11,-18,10,-19,7,-17,8,-18,9,-18,5,-15,6,-16,6,-18,3,-16,5,-14,4,-15,4,-14,5,-14,3,-13,5,-12,3,-13,3,-12,4,-12,6,-14,5,-12,3,-10,4,-12,5,-11,4,-11,4,0,0,-11,6,-12,7,-12,7,-11,2,-14,6,-10,2,-9,8,-11,9,-4,12,-5,12,-6,9,-8,4,-7,4,-7,3,-5,7,-2,8,-7,9,-4,8,-5,9,-4,6,-3,7,-2,9,-3,10,-2,10,-2,11,-2,11,0,0,0,0,0,0,0,0,0,0
